NAME                    VERSION           TYPE                    
Simple Launcher         1.1.0.14          binary  (+5 duplicates)  
acl-libs                2.3.2-r1          apk                      
alpine-baselayout       3.7.2-r1          apk                      
alpine-baselayout-data  3.7.2-r1          apk                      
alpine-keys             2.6-r0            apk                      
alpine-release          3.24.1-r0         apk                      
annotated-types         0.7.0             python                   
apache2-utils           2.4.68-r0         apk                      
apk-tools               3.0.7-r0          apk                      
apr                     1.7.6-r0          apk                      
apr-util                1.6.3-r2          apk                      
argon2-libs             20190702-r5       apk                      
asgiref                 3.11.1            python                   
autocommand             2.2.2             python                   
babybuddy               UNKNOWN           npm                      
backports-tarfile       1.2.0             python                   
bash                    5.3.9-r1          apk                      
boto3                   1.43.24           python                   
botocore                1.43.24           python                   
brotli-libs             1.2.0-r1          apk                      
busybox                 1.37.0-r31        apk                      
busybox-binsh           1.37.0-r31        apk                      
c-ares                  1.34.8-r0         apk                      
ca-certificates         20260611-r0       apk                      
ca-certificates-bundle  20260611-r0       apk                      
catatonit               0.2.1-r0          apk                      
cli                     UNKNOWN           binary                   
cli-32                  UNKNOWN           binary                   
cli-64                  UNKNOWN           binary                   
cli-arm64               UNKNOWN           binary                   
composer                2.10.2            binary                   
coreutils               9.11-r0           apk                      
coreutils-env           9.11-r0           apk                      
coreutils-fmt           9.11-r0           apk                      
coreutils-sha512sum     9.11-r0           apk                      
curl                    8.21.0-r0         apk                      
diff-match-patch        20241021          python                   
dj-database-url         2.3.0             python                   
django                  5.2.15            python                   
django-appconf          1.2.0             python                   
django-axes             7.1.0             python                   
django-cors-headers     4.9.0             python                   
django-dbsettings       1.4.0             python                   
django-filter           25.2              python                   
django-imagekit         6.1.0             python                   
django-import-export    4.4.1             python                   
django-ipware           7.0.1             python                   
django-qr-code          4.2.0             python                   
django-storages         1.14.6            python                   
django-taggit           6.1.0             python                   
django-widget-tweaks    1.5.1             python                   
djangorestframework     3.17.1            python                   
faker                   36.2.3            python                   
findutils               4.10.0-r1         apk                      
gdbm                    1.26-r0           apk                      
git                     2.54.0-r0         apk                      
git-init-template       2.54.0-r0         apk                      
gui                     UNKNOWN           binary                   
gui-32                  UNKNOWN           binary                   
gui-64                  UNKNOWN           binary                   
gui-arm64               UNKNOWN           binary                   
gunicorn                23.0.0            python                   
importlib-metadata      8.7.1             python                   
inflection              0.5.1             python                   
jaraco-context          6.1.0             python                   
jaraco-functools        4.4.0             python                   
jaraco-text             4.0.0             python                   
jmespath                1.1.0             python                   
jpeg                    9f-r0             apk                      
jq                      1.8.1-r0          apk                      
jupyterlab-plotly       5.24.1            npm     (+1 duplicate)   
libapk                  3.0.7-r0          apk                      
